scenario,combination_id,calibration_worlds,simulated_matches,synthetic_win_probability,synthetic_win_q025,synthetic_win_q975,draw_probability,real_win_probability,real_win_q025,real_win_q975,win_margin,win_margin_q025,win_margin_q975,mean_synthetic_goals,mean_real_goals,goal_difference,goal_difference_q025,goal_difference_q975,mean_synthetic_xg,mean_real_xg,xg_difference,xg_difference_q025,xg_difference_q975,synthetic_possession_share
primary_top20_pooled,real_xi_set_01,40,3200,0.2665625,0.2,0.3125,0.2390625,0.49437499999999995,0.4125,0.5646874999999999,-0.22781249999999997,-0.3403125,-0.12468750000000002,1.17375,1.6978125,-0.5240625,-0.7028125,-0.27468750000000003,1.185117742268228,1.7258857052484462,-0.5407679629802182,-0.6312265263008697,-0.3934358187315478,0.4843360892098715
primary_top20_pooled,real_xi_set_02,40,3200,0.25875,0.19968750000000002,0.3125,0.2321875,0.5090625,0.4121875,0.5649999999999998,-0.25031250000000005,-0.340625,-0.14843750000000006,1.165625,1.7440625,-0.5784374999999999,-0.7771875,-0.27437500000000004,1.1769765046465201,1.7744302269240475,-0.5974537222775274,-0.6859458579070026,-0.4472611878645739,0.4806292822091368
primary_top20_pooled,real_xi_set_03,40,3200,0.2421875,0.175,0.325,0.2528125,0.505,0.3875,0.5771874999999999,-0.2628125,-0.389375,-0.12468750000000002,1.1153125,1.7112500000000002,-0.5959375,-0.8256249999999999,-0.2612500000000001,1.1192363955409985,1.7432801827523785,-0.6240437872113802,-0.7283072160566139,-0.46262385822592933,0.48377289390038597
primary_top20_pooled,real_xi_set_04,40,3200,0.2340625,0.1871875,0.28812499999999996,0.2446875,0.52125,0.39968750000000003,0.5890624999999999,-0.2871875,-0.40125,-0.1734375000000001,1.1065625000000001,1.763125,-0.6565624999999999,-0.8628125000000001,-0.3115625000000001,1.1108646244133553,1.7920624314649998,-0.6811978070516445,-0.7949043541143683,-0.5282754203175847,0.47992099468716215
primary_top20_pooled,real_xi_set_05,40,3200,0.26749999999999996,0.2,0.3125,0.23937499999999998,0.49312500000000004,0.4125,0.5646874999999999,-0.22562500000000002,-0.32812499999999994,-0.12437500000000004,1.1765625,1.6975000000000002,-0.5209374999999999,-0.7028125,-0.27437500000000004,1.18936215383665,1.7260917361695636,-0.5367295823329136,-0.626407937829289,-0.3895602553049173,0.4843569266780266
primary_top20_pooled,real_xi_set_06,40,3200,0.25968749999999996,0.19968750000000002,0.3128125,0.2321875,0.5081249999999999,0.4121875,0.5649999999999998,-0.2484375,-0.32843750000000005,-0.14812500000000006,1.16875,1.7440625,-0.5753125,-0.7771875,-0.2740625000000001,1.1813014447114754,1.7745344293641352,-0.59323298465266,-0.6811803291080741,-0.4424765523923664,0.4806461567721943
primary_top20_pooled,real_xi_set_07,40,3200,0.24312499999999998,0.175,0.325,0.2525,0.504375,0.3875,0.5649999999999998,-0.26125,-0.389375,-0.136875,1.1190625,1.7109375,-0.591875,-0.8256249999999999,-0.2612500000000001,1.1231939860398408,1.7433501530962403,-0.6201561670563995,-0.723267936530673,-0.45889758334909314,0.4837656058119791
primary_top20_pooled,real_xi_set_08,40,3200,0.23562500000000003,0.1871875,0.28812499999999996,0.244375,0.52,0.39968750000000003,0.5890624999999999,-0.284375,-0.40125,-0.1734375000000001,1.110625,1.7628125000000001,-0.6521874999999999,-0.8628125000000001,-0.3115625000000001,1.1148610813079032,1.7921183314486444,-0.6772572501407412,-0.7904673087872316,-0.5249930407123571,0.47992913968345147
sensitivity_ability_high,real_xi_set_01,20,1000,0.25,0.14950000000000002,0.37049999999999994,0.233,0.517,0.439,0.6,-0.267,-0.4115,-0.08950000000000002,1.158,1.752,-0.5940000000000001,-0.8945,-0.3095,1.168954260945791,1.8112588150489313,-0.6423045541031402,-0.7789149270493126,-0.5460015606402968,0.4817599852795461
sensitivity_ability_high,real_xi_set_02,20,1000,0.24100000000000002,0.14,0.36099999999999993,0.23399999999999999,0.525,0.42,0.601,-0.28400000000000003,-0.3905,-0.07900000000000004,1.15,1.798,-0.648,-0.901,-0.27800000000000014,1.1570156932180753,1.8681628237803565,-0.7111471305622812,-0.8458716568234856,-0.6078440801879902,0.4774355866879659
sensitivity_ability_high,real_xi_set_03,20,1000,0.23199999999999998,0.1295,0.32,0.236,0.532,0.46,0.58,-0.30000000000000004,-0.401,-0.14950000000000005,1.092,1.739,-0.647,-0.8905000000000001,-0.3685000000000001,1.094826693803745,1.8135330595137635,-0.7187063657100186,-0.8580090674581318,-0.6250839583149197,0.4819421587900279
sensitivity_ability_high,real_xi_set_04,20,1000,0.223,0.1095,0.3305,0.23900000000000002,0.538,0.4495,0.601,-0.31500000000000006,-0.42000000000000004,-0.13900000000000007,1.088,1.7850000000000001,-0.697,-0.901,-0.38850000000000007,1.0836367435753365,1.8660139840016154,-0.7823772404262787,-0.9074318020778507,-0.6662400378412264,0.4772776641352947
sensitivity_ability_high,real_xi_set_05,20,1000,0.251,0.14950000000000002,0.37049999999999994,0.23399999999999999,0.515,0.439,0.5904999999999999,-0.264,-0.4115,-0.08950000000000002,1.166,1.752,-0.5860000000000001,-0.8734999999999999,-0.3095,1.1744923988947922,1.8113644635068256,-0.6368720646120335,-0.7726560410948081,-0.540578031975405,0.4817330241005382
sensitivity_ability_high,real_xi_set_06,20,1000,0.242,0.14,0.36099999999999993,0.23500000000000001,0.523,0.42,0.5904999999999999,-0.281,-0.3905,-0.07900000000000004,1.158,1.798,-0.64,-0.8705,-0.27800000000000014,1.1623378242952649,1.867954281492512,-0.7056164571972471,-0.8396734215259146,-0.6028064377113443,0.4774086255089579
sensitivity_ability_high,real_xi_set_07,20,1000,0.23500000000000001,0.1295,0.32,0.236,0.529,0.4495,0.58,-0.29400000000000004,-0.401,-0.14,1.1019999999999999,1.738,-0.636,-0.8905000000000001,-0.34950000000000003,1.1002111122057898,1.812875768066559,-0.7126646558607692,-0.8521204545399749,-0.6213741536823688,0.48200449869150575
sensitivity_ability_high,real_xi_set_08,20,1000,0.22600000000000003,0.1095,0.3305,0.23900000000000002,0.535,0.44,0.601,-0.30900000000000005,-0.42000000000000004,-0.12950000000000003,1.098,1.784,-0.686,-0.901,-0.36950000000000005,1.0889688702482956,1.8653561541279788,-0.776387283879683,-0.9015816258515922,-0.6619844463072294,0.4773300040367726
sensitivity_ability_low,real_xi_set_01,20,1000,0.29100000000000004,0.219,0.36,0.21400000000000002,0.495,0.3885,0.5904999999999999,-0.20400000000000001,-0.33049999999999996,-0.04750000000000013,1.2429999999999999,1.6940000000000002,-0.45099999999999996,-0.7905,-0.19900000000000007,1.2234353470740804,1.6724302145427692,-0.4489948674686889,-0.5916466721423194,-0.3718351710384698,0.4864420449516909
