role,name,overall_synthetic,build_up_synthetic,progression_synthetic,creation_synthetic,finishing_synthetic,defending_synthetic,duels_synthetic,retention_synthetic,goalkeeping_synthetic,overall_real_mean,build_up_real_mean,progression_real_mean,creation_real_mean,finishing_real_mean,defending_real_mean,duels_real_mean,retention_real_mean,goalkeeping_real_mean,overall_gap_real_minus_synthetic,build_up_gap_real_minus_synthetic,progression_gap_real_minus_synthetic,creation_gap_real_minus_synthetic,finishing_gap_real_minus_synthetic,defending_gap_real_minus_synthetic,duels_gap_real_minus_synthetic,retention_gap_real_minus_synthetic,goalkeeping_gap_real_minus_synthetic
GK,SYN-GK-T20,0.7936397069606709,0.3762456305744862,0.3110727140402609,0.3144110832377702,0.3186822542325283,0.2104391132059017,0.1616785021632339,0.7882220912387927,0.9996646498695336,0.7985667630794021,0.37634786471833265,0.30821189763797335,0.31168451289612664,0.3186822542325283,0.2156675816791803,0.17741138912927013,0.8232108847166133,0.9996646498695336,0.004927056118731232,0.00010223414384646912,-0.002860816402287525,-0.0027265703416435305,0.0,0.005228468473278597,0.015732886966036225,0.03498879347782058,0.0
CB1,SYN-RCB-T20,0.5631207247443704,0.6834342503986568,0.3679028166690246,0.3914538965695431,0.4438844840845149,0.6114645470426434,0.5604220350883298,0.6910082828151937,0.6249093925407898,0.7073087044532894,0.7479817640375996,0.3641402372845332,0.3911904585022014,0.5094256512391125,0.6625621182930959,0.6328775514047743,0.8294391473855117,0.6834307582300887,0.14418797970891906,0.06454751363894284,-0.0037625793844913713,-0.0002634380673416925,0.06554116715459762,0.051097571250452445,0.07245551631644453,0.13843086457031806,0.05852136568929889
CB2,SYN-LCB-T20,0.5995487186270431,0.6690043775870597,0.404593427046616,0.3969774615280036,0.4562977326409482,0.568805015866898,0.5195404834935272,0.6855229005867911,0.6120643644818313,0.7100013786997497,0.698734939828358,0.3852613112708375,0.3586611222274048,0.4391469549797796,0.6420735610530376,0.7476446132343418,0.7874213174071151,0.6449988337082831,0.1104526600727066,0.02973056224129833,-0.01933211577577848,-0.0383163393005988,-0.01715077766116857,0.07326854518613957,0.22810412974081462,0.10189841682032397,0.032934469226451824
FB1,SYN-RB-T20,0.6224903580031016,0.6373824367735279,0.5724755350030268,0.5850049949958269,0.4661308822283944,0.6556304122198058,0.6027908227367123,0.5562609799062459,0.5091851796271272,0.7065761233041306,0.648167657967671,0.7792367984344666,0.7651192682838424,0.47601863807540906,0.6717123240124852,0.6158675838175773,0.4960007987608098,0.39110860285699534,0.08408576530102896,0.010785221194143046,0.20676126343143975,0.18011427328801544,0.009887755847014679,0.01608191179267937,0.013076761080865085,-0.060260181145436076,-0.11807657677013184
FB2,SYN-LB-T20,0.5567881433978523,0.5746272941861941,0.5339295243689257,0.5322605091181326,0.4639300535210984,0.6138545152482326,0.5546354080986875,0.5336831214111151,0.5249783835133432,0.7103090167412799,0.7387296322747439,0.7865855738678991,0.6972278128109684,0.6136203400884093,0.5792449221465932,0.7439916647899244,0.6184724739801535,0.6078196950012679,0.15352087334342757,0.1641023380885498,0.25265604949897336,0.16496730369283574,0.14969028656731087,-0.03460959310163947,0.1893562566912369,0.08478935256903841,0.08284131148792462
DM,SYN-DM-T20,0.6005866691576096,0.6786416325618131,0.4950095001798241,0.5359935953332505,0.4603291141695308,0.5941031157291443,0.5463174925622709,0.616528263756901,0.5819015146335552,0.6861275926502921,0.9039289927251551,0.5523575160255001,0.5596753011208864,0.4210374739736437,0.6126617776135338,0.7254504290382311,0.6969721050599981,0.6621970697110556,0.0855409234926825,0.22528736016334205,0.057348015845676004,0.023681705787635843,-0.0392916401958871,0.018558661884389482,0.17913293647596018,0.08044384130309712,0.08029555507750041
CM,SYN-CM-T20,0.6887169572174912,0.6895822676512039,0.6799638674987543,0.7392476550193086,0.5951161639203124,0.5066400583398404,0.5532574185278347,0.5788504837390003,0.5681594931958777,0.8102143473077419,0.7091114828456158,0.8934296224709991,0.90274240338615,0.8368737855003541,0.3756585754153179,0.7048010000850327,0.5303449823639997,0.502077930342978,0.12149739009025073,0.019529215194411864,0.21346575497224485,0.1634947483668414,0.24175762158004166,-0.1309814829245225,0.15154358155719794,-0.04850550137500054,-0.06608156285289968
AM,SYN-AM-T20,0.6828138677541105,0.6168117177190421,0.7351134101115365,0.7362762905177713,0.6293383538680077,0.4658301684360992,0.5794915655140482,0.5376223549416597,0.5007262028005386,0.6719467965012291,0.5820805594115368,0.8242673004802815,0.738332154401583,0.7505107042902157,0.28753221534557943,0.5283117919834246,0.5221792296009897,0.4138715824297722,-0.010867071252881333,-0.03473115830750528,0.08915389036874499,0.002055863883811626,0.12117235042220798,-0.17829795309051977,-0.05117977353062364,-0.015443125340669939,-0.08685462037076641
W1,SYN-RW-T20,0.7449263612140564,0.5378738908677242,0.8303285083173202,0.8214715670668373,0.786485986912203,0.3476964333606978,0.6230933262400928,0.4915448439845984,0.4281026305153059,0.8327019832961582,0.6180466806720493,0.9055959745769304,0.948299724867384,0.9734699926446616,0.3108360057761186,0.589943530715964,0.4786685134400633,0.4043028992254805,0.08777562208210177,0.08017278980432507,0.07526746625961023,0.12682815780054668,0.18698400573245866,-0.03686042758457919,-0.03314979552412889,-0.01287633054453513,-0.023799731289825377
W2,SYN-LW-T20,0.6267630116395853,0.4098407513511334,0.7029937146404769,0.6588823273896451,0.6759086195314008,0.393556758336246,0.5580104380409305,0.3977910730886337,0.3472892456805751,0.683823961586197,0.5395512781441095,0.7424163284614242,0.7939566590659047,0.8440330419620903,0.2812518844772779,0.3520661634389584,0.4141284707349353,0.4783012749348689,0.057060949946611705,0.12971052679297612,0.03942261382094736,0.1350743316762596,0.16812442243068948,-0.11230487385896809,-0.20594427460197212,0.0163373976463016,0.13101202925429378
