scenario,combination_id,scoreline,size,probability
primary_top20_pooled,real_xi_set_01,1-1,344,0.1075
primary_top20_pooled,real_xi_set_01,1-2,311,0.0971875
primary_top20_pooled,real_xi_set_01,0-1,301,0.0940625
primary_top20_pooled,real_xi_set_01,0-2,281,0.0878125
primary_top20_pooled,real_xi_set_01,2-1,235,0.0734375
primary_top20_pooled,real_xi_set_01,1-0,218,0.068125
primary_top20_pooled,real_xi_set_01,2-2,193,0.0603125
primary_top20_pooled,real_xi_set_01,0-0,176,0.055
primary_top20_pooled,real_xi_set_01,1-3,167,0.0521875
primary_top20_pooled,real_xi_set_01,0-3,142,0.044375
primary_top20_pooled,real_xi_set_01,2-0,123,0.0384375
primary_top20_pooled,real_xi_set_01,2-3,98,0.030625
primary_top20_pooled,real_xi_set_01,1-4,74,0.023125
primary_top20_pooled,real_xi_set_01,3-2,74,0.023125
primary_top20_pooled,real_xi_set_01,3-1,68,0.02125
primary_top20_pooled,real_xi_set_01,0-4,67,0.0209375
primary_top20_pooled,real_xi_set_01,3-3,45,0.0140625
primary_top20_pooled,real_xi_set_01,3-0,41,0.0128125
primary_top20_pooled,real_xi_set_01,2-4,38,0.011875
primary_top20_pooled,real_xi_set_01,1-5,32,0.01
primary_top20_pooled,real_xi_set_01,4-1,29,0.0090625
primary_top20_pooled,real_xi_set_01,4-2,18,0.005625
primary_top20_pooled,real_xi_set_01,0-5,16,0.005
primary_top20_pooled,real_xi_set_01,2-5,16,0.005
primary_top20_pooled,real_xi_set_01,4-0,13,0.0040625
primary_top20_pooled,real_xi_set_01,3-4,9,0.0028125
primary_top20_pooled,real_xi_set_01,3-5,9,0.0028125
primary_top20_pooled,real_xi_set_01,0-6,7,0.0021875
primary_top20_pooled,real_xi_set_01,5-1,7,0.0021875
primary_top20_pooled,real_xi_set_01,5-2,7,0.0021875
primary_top20_pooled,real_xi_set_01,4-3,6,0.001875
primary_top20_pooled,real_xi_set_01,4-4,5,0.0015625
primary_top20_pooled,real_xi_set_01,1-6,4,0.00125
primary_top20_pooled,real_xi_set_01,6-1,4,0.00125
primary_top20_pooled,real_xi_set_01,3-6,3,0.0009375
primary_top20_pooled,real_xi_set_01,5-0,3,0.0009375
primary_top20_pooled,real_xi_set_01,5-3,3,0.0009375
primary_top20_pooled,real_xi_set_01,0-7,2,0.000625
primary_top20_pooled,real_xi_set_01,2-6,2,0.000625
primary_top20_pooled,real_xi_set_01,5-4,2,0.000625
primary_top20_pooled,real_xi_set_01,5-5,2,0.000625
primary_top20_pooled,real_xi_set_01,1-7,1,0.0003125
primary_top20_pooled,real_xi_set_01,2-7,1,0.0003125
primary_top20_pooled,real_xi_set_01,6-3,1,0.0003125
primary_top20_pooled,real_xi_set_01,6-5,1,0.0003125
primary_top20_pooled,real_xi_set_01,6-7,1,0.0003125
primary_top20_pooled,real_xi_set_02,1-1,337,0.1053125
primary_top20_pooled,real_xi_set_02,1-2,303,0.0946875
primary_top20_pooled,real_xi_set_02,0-1,301,0.0940625
primary_top20_pooled,real_xi_set_02,0-2,283,0.0884375
primary_top20_pooled,real_xi_set_02,2-1,226,0.070625
primary_top20_pooled,real_xi_set_02,1-0,205,0.0640625
primary_top20_pooled,real_xi_set_02,2-2,183,0.0571875
primary_top20_pooled,real_xi_set_02,1-3,180,0.05625
primary_top20_pooled,real_xi_set_02,0-0,173,0.0540625
primary_top20_pooled,real_xi_set_02,0-3,157,0.0490625
primary_top20_pooled,real_xi_set_02,2-0,120,0.0375
primary_top20_pooled,real_xi_set_02,2-3,108,0.03375
primary_top20_pooled,real_xi_set_02,1-4,78,0.024375
primary_top20_pooled,real_xi_set_02,3-2,76,0.02375
primary_top20_pooled,real_xi_set_02,0-4,70,0.021875
primary_top20_pooled,real_xi_set_02,3-1,64,0.02
primary_top20_pooled,real_xi_set_02,3-3,45,0.0140625
primary_top20_pooled,real_xi_set_02,3-0,39,0.0121875
primary_top20_pooled,real_xi_set_02,2-4,36,0.01125
primary_top20_pooled,real_xi_set_02,1-5,33,0.0103125
primary_top20_pooled,real_xi_set_02,4-1,28,0.00875
primary_top20_pooled,real_xi_set_02,4-2,20,0.00625
primary_top20_pooled,real_xi_set_02,2-5,18,0.005625
primary_top20_pooled,real_xi_set_02,0-5,17,0.0053125
primary_top20_pooled,real_xi_set_02,4-0,12,0.00375
primary_top20_pooled,real_xi_set_02,3-4,11,0.0034375
primary_top20_pooled,real_xi_set_02,1-6,9,0.0028125
primary_top20_pooled,real_xi_set_02,3-5,8,0.0025
primary_top20_pooled,real_xi_set_02,4-3,8,0.0025
primary_top20_pooled,real_xi_set_02,5-2,8,0.0025
primary_top20_pooled,real_xi_set_02,0-6,6,0.001875
primary_top20_pooled,real_xi_set_02,5-1,6,0.001875
primary_top20_pooled,real_xi_set_02,5-3,4,0.00125
primary_top20_pooled,real_xi_set_02,6-1,4,0.00125
primary_top20_pooled,real_xi_set_02,2-6,3,0.0009375
primary_top20_pooled,real_xi_set_02,3-6,3,0.0009375
primary_top20_pooled,real_xi_set_02,4-4,3,0.0009375
primary_top20_pooled,real_xi_set_02,5-0,3,0.0009375
primary_top20_pooled,real_xi_set_02,5-4,3,0.0009375
primary_top20_pooled,real_xi_set_02,0-7,2,0.000625
primary_top20_pooled,real_xi_set_02,5-5,2,0.000625
primary_top20_pooled,real_xi_set_02,1-7,1,0.0003125
primary_top20_pooled,real_xi_set_02,2-7,1,0.0003125
primary_top20_pooled,real_xi_set_02,6-3,1,0.0003125
primary_top20_pooled,real_xi_set_02,6-5,1,0.0003125
primary_top20_pooled,real_xi_set_02,6-7,1,0.0003125
primary_top20_pooled,real_xi_set_03,1-1,375,0.1171875
primary_top20_pooled,real_xi_set_03,0-1,311,0.0971875
primary_top20_pooled,real_xi_set_03,0-2,296,0.0925
primary_top20_pooled,real_xi_set_03,1-2,292,0.09125
primary_top20_pooled,real_xi_set_03,2-1,221,0.0690625
primary_top20_pooled,real_xi_set_03,1-0,198,0.061875
primary_top20_pooled,real_xi_set_03,2-2,195,0.0609375
primary_top20_pooled,real_xi_set_03,0-0,192,0.06
primary_top20_pooled,real_xi_set_03,1-3,179,0.0559375
primary_top20_pooled,real_xi_set_03,0-3,163,0.0509375
primary_top20_pooled,real_xi_set_03,2-0,111,0.0346875
primary_top20_pooled,real_xi_set_03,2-3,96,0.03
primary_top20_pooled,real_xi_set_03,1-4,78,0.024375
primary_top20_pooled,real_xi_set_03,3-2,66,0.020625
primary_top20_pooled,real_xi_set_03,3-1,60,0.01875
primary_top20_pooled,real_xi_set_03,0-4,59,0.0184375
primary_top20_pooled,real_xi_set_03,3-0,43,0.0134375
primary_top20_pooled,real_xi_set_03,2-4,41,0.0128125
primary_top20_pooled,real_xi_set_03,3-3,41,0.0128125
primary_top20_pooled,real_xi_set_03,1-5,34,0.010625
primary_top20_pooled,real_xi_set_03,4-1,23,0.0071875
primary_top20_pooled,real_xi_set_03,4-2,20,0.00625
primary_top20_pooled,real_xi_set_03,0-5,17,0.0053125
primary_top20_pooled,real_xi_set_03,2-5,17,0.0053125
primary_top20_pooled,real_xi_set_03,3-4,9,0.0028125
primary_top20_pooled,real_xi_set_03,4-0,7,0.0021875
primary_top20_pooled,real_xi_set_03,4-3,7,0.0021875
primary_top20_pooled,real_xi_set_03,0-6,6,0.001875
primary_top20_pooled,real_xi_set_03,3-5,5,0.0015625
primary_top20_pooled,real_xi_set_03,5-1,5,0.0015625
primary_top20_pooled,real_xi_set_03,1-6,4,0.00125
primary_top20_pooled,real_xi_set_03,4-4,4,0.00125
primary_top20_pooled,real_xi_set_03,5-2,4,0.00125
primary_top20_pooled,real_xi_set_03,5-0,3,0.0009375
primary_top20_pooled,real_xi_set_03,5-3,3,0.0009375
primary_top20_pooled,real_xi_set_03,1-7,2,0.000625
primary_top20_pooled,real_xi_set_03,2-7,2,0.000625
primary_top20_pooled,real_xi_set_03,5-5,2,0.000625
primary_top20_pooled,real_xi_set_03,6-1,2,0.000625
primary_top20_pooled,real_xi_set_03,0-7,1,0.0003125
primary_top20_pooled,real_xi_set_03,2-6,1,0.0003125
primary_top20_pooled,real_xi_set_03,3-6,1,0.0003125
primary_top20_pooled,real_xi_set_03,3-7,1,0.0003125
primary_top20_pooled,real_xi_set_03,6-5,1,0.0003125
primary_top20_pooled,real_xi_set_03,6-7,1,0.0003125
primary_top20_pooled,real_xi_set_03,8-1,1,0.0003125
primary_top20_pooled,real_xi_set_04,1-1,358,0.111875
primary_top20_pooled,real_xi_set_04,0-1,313,0.0978125
primary_top20_pooled,real_xi_set_04,0-2,293,0.0915625
primary_top20_pooled,real_xi_set_04,1-2,293,0.0915625
primary_top20_pooled,real_xi_set_04,2-1,217,0.0678125
primary_top20_pooled,real_xi_set_04,2-2,193,0.0603125
primary_top20_pooled,real_xi_set_04,1-0,191,0.0596875
primary_top20_pooled,real_xi_set_04,1-3,190,0.059375
primary_top20_pooled,real_xi_set_04,0-0,184,0.0575
primary_top20_pooled,real_xi_set_04,0-3,176,0.055
primary_top20_pooled,real_xi_set_04,2-0,107,0.0334375
primary_top20_pooled,real_xi_set_04,2-3,100,0.03125
primary_top20_pooled,real_xi_set_04,1-4,72,0.0225
primary_top20_pooled,real_xi_set_04,3-2,67,0.0209375
primary_top20_pooled,real_xi_set_04,0-4,66,0.020625
primary_top20_pooled,real_xi_set_04,3-1,53,0.0165625
primary_top20_pooled,real_xi_set_04,2-4,47,0.0146875
primary_top20_pooled,real_xi_set_04,1-5,43,0.0134375
primary_top20_pooled,real_xi_set_04,3-3,42,0.013125
primary_top20_pooled,real_xi_set_04,3-0,41,0.0128125
primary_top20_pooled,real_xi_set_04,4-1,23,0.0071875
primary_top20_pooled,real_xi_set_04,4-2,20,0.00625
primary_top20_pooled,real_xi_set_04,0-5,19,0.0059375
primary_top20_pooled,real_xi_set_04,2-5,17,0.0053125
primary_top20_pooled,real_xi_set_04,3-4,13,0.0040625
primary_top20_pooled,real_xi_set_04,0-6,7,0.0021875
primary_top20_pooled,real_xi_set_04,3-5,5,0.0015625
primary_top20_pooled,real_xi_set_04,4-0,5,0.0015625
primary_top20_pooled,real_xi_set_04,4-3,5,0.0015625
primary_top20_pooled,real_xi_set_04,5-1,5,0.0015625
primary_top20_pooled,real_xi_set_04,1-6,4,0.00125
primary_top20_pooled,real_xi_set_04,4-4,4,0.00125
primary_top20_pooled,real_xi_set_04,5-3,4,0.00125
primary_top20_pooled,real_xi_set_04,5-0,3,0.0009375
primary_top20_pooled,real_xi_set_04,5-2,3,0.0009375
primary_top20_pooled,real_xi_set_04,1-7,2,0.000625
primary_top20_pooled,real_xi_set_04,2-6,2,0.000625
primary_top20_pooled,real_xi_set_04,5-5,2,0.000625
primary_top20_pooled,real_xi_set_04,6-1,2,0.000625
primary_top20_pooled,real_xi_set_04,0-7,1,0.0003125
primary_top20_pooled,real_xi_set_04,1-8,1,0.0003125
primary_top20_pooled,real_xi_set_04,2-7,1,0.0003125
primary_top20_pooled,real_xi_set_04,3-6,1,0.0003125
primary_top20_pooled,real_xi_set_04,3-7,1,0.0003125
primary_top20_pooled,real_xi_set_04,5-4,1,0.0003125
primary_top20_pooled,real_xi_set_04,6-5,1,0.0003125
primary_top20_pooled,real_xi_set_04,6-7,1,0.0003125
primary_top20_pooled,real_xi_set_04,8-1,1,0.0003125
primary_top20_pooled,real_xi_set_05,1-1,343,0.1071875
primary_top20_pooled,real_xi_set_05,1-2,308,0.09625
primary_top20_pooled,real_xi_set_05,0-1,300,0.09375
primary_top20_pooled,real_xi_set_05,0-2,282,0.088125
primary_top20_pooled,real_xi_set_05,2-1,236,0.07375
primary_top20_pooled,real_xi_set_05,1-0,218,0.068125
primary_top20_pooled,real_xi_set_05,2-2,194,0.060625
primary_top20_pooled,real_xi_set_05,0-0,176,0.055
primary_top20_pooled,real_xi_set_05,1-3,168,0.0525
primary_top20_pooled,real_xi_set_05,0-3,142,0.044375
primary_top20_pooled,real_xi_set_05,2-0,123,0.0384375
primary_top20_pooled,real_xi_set_05,2-3,97,0.0303125
primary_top20_pooled,real_xi_set_05,1-4,73,0.0228125
primary_top20_pooled,real_xi_set_05,3-2,73,0.0228125
primary_top20_pooled,real_xi_set_05,3-1,69,0.0215625
primary_top20_pooled,real_xi_set_05,0-4,67,0.0209375
primary_top20_pooled,real_xi_set_05,3-3,46,0.014375
primary_top20_pooled,real_xi_set_05,3-0,41,0.0128125
primary_top20_pooled,real_xi_set_05,2-4,38,0.011875
primary_top20_pooled,real_xi_set_05,1-5,32,0.01
primary_top20_pooled,real_xi_set_05,4-1,29,0.0090625
primary_top20_pooled,real_xi_set_05,4-2,20,0.00625
primary_top20_pooled,real_xi_set_05,0-5,16,0.005
primary_top20_pooled,real_xi_set_05,2-5,16,0.005
primary_top20_pooled,real_xi_set_05,4-0,13,0.0040625
primary_top20_pooled,real_xi_set_05,3-4,9,0.0028125
primary_top20_pooled,real_xi_set_05,3-5,9,0.0028125
primary_top20_pooled,real_xi_set_05,0-6,7,0.0021875
primary_top20_pooled,real_xi_set_05,5-1,7,0.0021875
primary_top20_pooled,real_xi_set_05,5-2,7,0.0021875
primary_top20_pooled,real_xi_set_05,4-3,6,0.001875
primary_top20_pooled,real_xi_set_05,4-4,5,0.0015625
primary_top20_pooled,real_xi_set_05,1-6,4,0.00125
primary_top20_pooled,real_xi_set_05,6-1,4,0.00125
primary_top20_pooled,real_xi_set_05,3-6,3,0.0009375
primary_top20_pooled,real_xi_set_05,5-0,3,0.0009375
primary_top20_pooled,real_xi_set_05,5-3,3,0.0009375
primary_top20_pooled,real_xi_set_05,0-7,2,0.000625
primary_top20_pooled,real_xi_set_05,2-6,2,0.000625
primary_top20_pooled,real_xi_set_05,5-4,2,0.000625
primary_top20_pooled,real_xi_set_05,5-5,2,0.000625
primary_top20_pooled,real_xi_set_05,1-7,1,0.0003125
primary_top20_pooled,real_xi_set_05,2-7,1,0.0003125
primary_top20_pooled,real_xi_set_05,6-3,1,0.0003125
primary_top20_pooled,real_xi_set_05,6-5,1,0.0003125
primary_top20_pooled,real_xi_set_05,6-7,1,0.0003125
primary_top20_pooled,real_xi_set_06,1-1,336,0.105
primary_top20_pooled,real_xi_set_06,0-1,301,0.0940625
primary_top20_pooled,real_xi_set_06,1-2,301,0.0940625
primary_top20_pooled,real_xi_set_06,0-2,283,0.0884375
primary_top20_pooled,real_xi_set_06,2-1,227,0.0709375
primary_top20_pooled,real_xi_set_06,1-0,205,0.0640625
primary_top20_pooled,real_xi_set_06,2-2,184,0.0575
primary_top20_pooled,real_xi_set_06,1-3,180,0.05625
primary_top20_pooled,real_xi_set_06,0-0,172,0.05375
primary_top20_pooled,real_xi_set_06,0-3,157,0.0490625
primary_top20_pooled,real_xi_set_06,2-0,120,0.0375
primary_top20_pooled,real_xi_set_06,2-3,107,0.0334375
primary_top20_pooled,real_xi_set_06,1-4,78,0.024375
primary_top20_pooled,real_xi_set_06,3-2,75,0.0234375
primary_top20_pooled,real_xi_set_06,0-4,70,0.021875
primary_top20_pooled,real_xi_set_06,3-1,65,0.0203125
primary_top20_pooled,real_xi_set_06,3-3,46,0.014375
primary_top20_pooled,real_xi_set_06,3-0,39,0.0121875
primary_top20_pooled,real_xi_set_06,2-4,37,0.0115625
primary_top20_pooled,real_xi_set_06,1-5,33,0.0103125
primary_top20_pooled,real_xi_set_06,4-1,28,0.00875
primary_top20_pooled,real_xi_set_06,4-2,22,0.006875
primary_top20_pooled,real_xi_set_06,0-5,17,0.0053125
primary_top20_pooled,real_xi_set_06,2-5,17,0.0053125
primary_top20_pooled,real_xi_set_06,4-0,12,0.00375
primary_top20_pooled,real_xi_set_06,3-4,11,0.0034375
primary_top20_pooled,real_xi_set_06,1-6,9,0.0028125
primary_top20_pooled,real_xi_set_06,3-5,8,0.0025
primary_top20_pooled,real_xi_set_06,4-3,8,0.0025
primary_top20_pooled,real_xi_set_06,5-2,8,0.0025
primary_top20_pooled,real_xi_set_06,0-6,6,0.001875
primary_top20_pooled,real_xi_set_06,5-1,6,0.001875
primary_top20_pooled,real_xi_set_06,5-3,4,0.00125
primary_top20_pooled,real_xi_set_06,6-1,4,0.00125
primary_top20_pooled,real_xi_set_06,2-6,3,0.0009375
primary_top20_pooled,real_xi_set_06,3-6,3,0.0009375
primary_top20_pooled,real_xi_set_06,4-4,3,0.0009375
primary_top20_pooled,real_xi_set_06,5-0,3,0.0009375
primary_top20_pooled,real_xi_set_06,5-4,3,0.0009375
primary_top20_pooled,real_xi_set_06,0-7,2,0.000625
primary_top20_pooled,real_xi_set_06,5-5,2,0.000625
primary_top20_pooled,real_xi_set_06,1-7,1,0.0003125
primary_top20_pooled,real_xi_set_06,2-7,1,0.0003125
primary_top20_pooled,real_xi_set_06,6-3,1,0.0003125
primary_top20_pooled,real_xi_set_06,6-5,1,0.0003125
primary_top20_pooled,real_xi_set_06,6-7,1,0.0003125
primary_top20_pooled,real_xi_set_07,1-1,377,0.1178125
primary_top20_pooled,real_xi_set_07,0-1,311,0.0971875
primary_top20_pooled,real_xi_set_07,0-2,295,0.0921875
primary_top20_pooled,real_xi_set_07,1-2,291,0.0909375
primary_top20_pooled,real_xi_set_07,2-1,220,0.06875
primary_top20_pooled,real_xi_set_07,1-0,198,0.061875
primary_top20_pooled,real_xi_set_07,2-2,195,0.0609375
primary_top20_pooled,real_xi_set_07,0-0,189,0.0590625
primary_top20_pooled,real_xi_set_07,1-3,180,0.05625
primary_top20_pooled,real_xi_set_07,0-3,163,0.0509375
primary_top20_pooled,real_xi_set_07,2-0,113,0.0353125
primary_top20_pooled,real_xi_set_07,2-3,96,0.03
primary_top20_pooled,real_xi_set_07,1-4,78,0.024375
primary_top20_pooled,real_xi_set_07,3-2,67,0.0209375
primary_top20_pooled,real_xi_set_07,3-1,60,0.01875
primary_top20_pooled,real_xi_set_07,0-4,58,0.018125
primary_top20_pooled,real_xi_set_07,3-0,42,0.013125
primary_top20_pooled,real_xi_set_07,2-4,41,0.0128125
primary_top20_pooled,real_xi_set_07,3-3,41,0.0128125
primary_top20_pooled,real_xi_set_07,1-5,34,0.010625
primary_top20_pooled,real_xi_set_07,4-1,24,0.0075
primary_top20_pooled,real_xi_set_07,4-2,20,0.00625
primary_top20_pooled,real_xi_set_07,0-5,17,0.0053125
primary_top20_pooled,real_xi_set_07,2-5,17,0.0053125
primary_top20_pooled,real_xi_set_07,3-4,9,0.0028125
primary_top20_pooled,real_xi_set_07,4-0,8,0.0025
primary_top20_pooled,real_xi_set_07,4-3,7,0.0021875
primary_top20_pooled,real_xi_set_07,0-6,6,0.001875
primary_top20_pooled,real_xi_set_07,3-5,5,0.0015625
primary_top20_pooled,real_xi_set_07,5-1,5,0.0015625
primary_top20_pooled,real_xi_set_07,1-6,4,0.00125
primary_top20_pooled,real_xi_set_07,4-4,4,0.00125
primary_top20_pooled,real_xi_set_07,5-2,4,0.00125
primary_top20_pooled,real_xi_set_07,5-0,3,0.0009375
primary_top20_pooled,real_xi_set_07,5-3,3,0.0009375
primary_top20_pooled,real_xi_set_07,1-7,2,0.000625
primary_top20_pooled,real_xi_set_07,2-7,2,0.000625
primary_top20_pooled,real_xi_set_07,5-5,2,0.000625
primary_top20_pooled,real_xi_set_07,6-1,2,0.000625
primary_top20_pooled,real_xi_set_07,0-7,1,0.0003125
primary_top20_pooled,real_xi_set_07,2-6,1,0.0003125
primary_top20_pooled,real_xi_set_07,3-6,1,0.0003125
primary_top20_pooled,real_xi_set_07,3-7,1,0.0003125
primary_top20_pooled,real_xi_set_07,6-5,1,0.0003125
primary_top20_pooled,real_xi_set_07,6-7,1,0.0003125
primary_top20_pooled,real_xi_set_07,8-1,1,0.0003125
primary_top20_pooled,real_xi_set_08,1-1,361,0.1128125
primary_top20_pooled,real_xi_set_08,0-1,312,0.0975
primary_top20_pooled,real_xi_set_08,0-2,293,0.0915625
primary_top20_pooled,real_xi_set_08,1-2,291,0.0909375
primary_top20_pooled,real_xi_set_08,2-1,217,0.0678125
primary_top20_pooled,real_xi_set_08,1-0,194,0.060625
primary_top20_pooled,real_xi_set_08,2-2,193,0.0603125
primary_top20_pooled,real_xi_set_08,1-3,191,0.0596875
primary_top20_pooled,real_xi_set_08,0-0,179,0.0559375
primary_top20_pooled,real_xi_set_08,0-3,176,0.055
primary_top20_pooled,real_xi_set_08,2-0,108,0.03375
primary_top20_pooled,real_xi_set_08,2-3,100,0.03125
primary_top20_pooled,real_xi_set_08,1-4,72,0.0225
primary_top20_pooled,real_xi_set_08,3-2,68,0.02125
primary_top20_pooled,real_xi_set_08,0-4,65,0.0203125
primary_top20_pooled,real_xi_set_08,3-1,52,0.01625
primary_top20_pooled,real_xi_set_08,2-4,47,0.0146875
primary_top20_pooled,real_xi_set_08,1-5,43,0.0134375
primary_top20_pooled,real_xi_set_08,3-3,42,0.013125
primary_top20_pooled,real_xi_set_08,3-0,40,0.0125
primary_top20_pooled,real_xi_set_08,4-1,24,0.0075
primary_top20_pooled,real_xi_set_08,4-2,20,0.00625
primary_top20_pooled,real_xi_set_08,0-5,19,0.0059375
primary_top20_pooled,real_xi_set_08,2-5,17,0.0053125
primary_top20_pooled,real_xi_set_08,3-4,12,0.00375
primary_top20_pooled,real_xi_set_08,0-6,7,0.0021875
primary_top20_pooled,real_xi_set_08,4-0,6,0.001875
primary_top20_pooled,real_xi_set_08,3-5,5,0.0015625
primary_top20_pooled,real_xi_set_08,4-3,5,0.0015625
primary_top20_pooled,real_xi_set_08,4-4,5,0.0015625
primary_top20_pooled,real_xi_set_08,5-1,5,0.0015625
primary_top20_pooled,real_xi_set_08,1-6,4,0.00125
primary_top20_pooled,real_xi_set_08,5-3,4,0.00125
primary_top20_pooled,real_xi_set_08,5-0,3,0.0009375
primary_top20_pooled,real_xi_set_08,5-2,3,0.0009375
primary_top20_pooled,real_xi_set_08,1-7,2,0.000625
primary_top20_pooled,real_xi_set_08,2-6,2,0.000625
primary_top20_pooled,real_xi_set_08,5-5,2,0.000625
primary_top20_pooled,real_xi_set_08,6-1,2,0.000625
primary_top20_pooled,real_xi_set_08,0-7,1,0.0003125
primary_top20_pooled,real_xi_set_08,1-8,1,0.0003125
primary_top20_pooled,real_xi_set_08,2-7,1,0.0003125
primary_top20_pooled,real_xi_set_08,3-6,1,0.0003125
primary_top20_pooled,real_xi_set_08,3-7,1,0.0003125
primary_top20_pooled,real_xi_set_08,5-4,1,0.0003125
primary_top20_pooled,real_xi_set_08,6-5,1,0.0003125
primary_top20_pooled,real_xi_set_08,6-7,1,0.0003125
primary_top20_pooled,real_xi_set_08,8-1,1,0.0003125
sensitivity_ability_high,real_xi_set_01,1-1,110,0.11
sensitivity_ability_high,real_xi_set_01,1-2,102,0.102
sensitivity_ability_high,real_xi_set_01,0-1,89,0.089
sensitivity_ability_high,real_xi_set_01,0-2,89,0.089
sensitivity_ability_high,real_xi_set_01,1-3,64,0.064
sensitivity_ability_high,real_xi_set_01,1-0,60,0.06
sensitivity_ability_high,real_xi_set_01,2-2,59,0.059
sensitivity_ability_high,real_xi_set_01,2-1,58,0.058
sensitivity_ability_high,real_xi_set_01,0-0,54,0.054
sensitivity_ability_high,real_xi_set_01,2-0,49,0.049
sensitivity_ability_high,real_xi_set_01,0-3,48,0.048
sensitivity_ability_high,real_xi_set_01,2-3,32,0.032
sensitivity_ability_high,real_xi_set_01,1-4,26,0.026
sensitivity_ability_high,real_xi_set_01,3-1,26,0.026
sensitivity_ability_high,real_xi_set_01,3-2,18,0.018
sensitivity_ability_high,real_xi_set_01,0-4,16,0.016
sensitivity_ability_high,real_xi_set_01,2-4,16,0.016
sensitivity_ability_high,real_xi_set_01,3-0,13,0.013
sensitivity_ability_high,real_xi_set_01,3-3,8,0.008
sensitivity_ability_high,real_xi_set_01,4-3,6,0.006
sensitivity_ability_high,real_xi_set_01,1-5,5,0.005
sensitivity_ability_high,real_xi_set_01,2-5,5,0.005
sensitivity_ability_high,real_xi_set_01,4-0,5,0.005
sensitivity_ability_high,real_xi_set_01,4-2,5,0.005
sensitivity_ability_high,real_xi_set_01,0-5,4,0.004
sensitivity_ability_high,real_xi_set_01,1-6,4,0.004
sensitivity_ability_high,real_xi_set_01,0-6,3,0.003
sensitivity_ability_high,real_xi_set_01,3-4,3,0.003
sensitivity_ability_high,real_xi_set_01,3-5,3,0.003
sensitivity_ability_high,real_xi_set_01,4-1,3,0.003
sensitivity_ability_high,real_xi_set_01,0-7,2,0.002
sensitivity_ability_high,real_xi_set_01,2-6,2,0.002
sensitivity_ability_high,real_xi_set_01,4-4,2,0.002
sensitivity_ability_high,real_xi_set_01,5-1,2,0.002
sensitivity_ability_high,real_xi_set_01,5-2,2,0.002
sensitivity_ability_high,real_xi_set_01,0-9,1,0.001
sensitivity_ability_high,real_xi_set_01,3-6,1,0.001
sensitivity_ability_high,real_xi_set_01,3-8,1,0.001
sensitivity_ability_high,real_xi_set_01,5-3,1,0.001
sensitivity_ability_high,real_xi_set_01,5-6,1,0.001
sensitivity_ability_high,real_xi_set_01,6-1,1,0.001
sensitivity_ability_high,real_xi_set_01,6-2,1,0.001
sensitivity_ability_high,real_xi_set_02,1-1,106,0.106
sensitivity_ability_high,real_xi_set_02,1-2,102,0.102
sensitivity_ability_high,real_xi_set_02,0-2,93,0.093
sensitivity_ability_high,real_xi_set_02,0-1,83,0.083
sensitivity_ability_high,real_xi_set_02,2-2,62,0.062
sensitivity_ability_high,real_xi_set_02,1-3,61,0.061
sensitivity_ability_high,real_xi_set_02,2-1,58,0.058
sensitivity_ability_high,real_xi_set_02,1-0,56,0.056
sensitivity_ability_high,real_xi_set_02,0-0,55,0.055
sensitivity_ability_high,real_xi_set_02,2-0,49,0.049
sensitivity_ability_high,real_xi_set_02,0-3,48,0.048
sensitivity_ability_high,real_xi_set_02,1-4,30,0.03
sensitivity_ability_high,real_xi_set_02,2-3,29,0.029
sensitivity_ability_high,real_xi_set_02,3-1,25,0.025
sensitivity_ability_high,real_xi_set_02,0-4,24,0.024
sensitivity_ability_high,real_xi_set_02,2-4,18,0.018
sensitivity_ability_high,real_xi_set_02,3-2,17,0.017
sensitivity_ability_high,real_xi_set_02,3-0,12,0.012
sensitivity_ability_high,real_xi_set_02,3-3,8,0.008
sensitivity_ability_high,real_xi_set_02,1-5,6,0.006
sensitivity_ability_high,real_xi_set_02,2-5,6,0.006
