top_n_requested,uncertainty_mode,role,slot,actual_n,member_rank,player_id,player_name,world_cup_team,minutes_num,overall,conservative_score,member_uncertainty,avatar_uncertainty
20,pooled,GK,GK,20,1,182718,J. Garcia,Spain,4049.0,0.809506995311787,0.7361646068035925,0.0733423885081944,0.025
20,pooled,GK,GK,20,2,49866,U. Cakir,Türkiye,4058.0,0.7998039513134133,0.7265429388392247,0.0732610124741886,0.025
20,pooled,GK,GK,20,3,129058,B. Verbruggen,Netherlands,3810.0,0.8006378638794533,0.7250300902508716,0.0756077736285817,0.025
20,pooled,GK,GK,20,4,732,L. Zidane,Algeria,3089.0,0.8089233825886204,0.7249541887740211,0.0839691938145993,0.025
20,pooled,GK,GK,20,5,138804,M. Kovar,Czech Republic,4140.0,0.7958974094435404,0.7233655573700037,0.0725318520735365,0.025
20,pooled,GK,GK,20,6,22221,M. Maignan,France,4291.0,0.7941353127292504,0.7228910854489691,0.0712442272802813,0.025
20,pooled,GK,GK,20,7,369,D. Costa,Portugal,4730.0,0.7902106868754002,0.7223531068803053,0.0678575799950948,0.025
20,pooled,GK,GK,20,8,497,M. Neuer,Germany,3600.0,0.7997975980415335,0.7220158521110133,0.0777817459305202,0.025
20,pooled,GK,GK,20,9,46417,S. Chaine,South Africa,2700.0,0.8098014669222335,0.7199868430201837,0.0898146239020498,0.025
20,pooled,GK,GK,20,10,47296,G. Rulli,Argentina,3517.0,0.7968209004092849,0.718126695185897,0.0786942052233878,0.025
20,pooled,GK,GK,20,11,269349,L. Hornicek,Czech Republic,4220.0,0.7876265308470172,0.7157854740566394,0.0718410567903778,0.025
20,pooled,GK,GK,20,12,280,Alisson,Brazil,3746.0,0.7914404294111732,0.715189515873894,0.0762509135372791,0.025
20,pooled,GK,GK,20,13,353883,P. Beach,Australia,3554.0,0.7930117946834457,0.7147282962055826,0.0782834984778631,0.025
20,pooled,GK,GK,20,14,2986,E. Mendy,Senegal,4023.0,0.7865066631062362,0.7129276562762645,0.0735790068299716,0.025
