scenario,combination_id,world_id,matches,synthetic_win_probability,draw_probability,real_win_probability,mean_synthetic_goals,mean_real_goals,mean_goal_difference,mean_synthetic_xg,mean_real_xg,mean_xg_difference,mean_synthetic_possession,win_probability_margin
primary_top20_pooled,real_xi_set_01,0,80,0.2375,0.25,0.5125,1.225,1.8375,-0.6125,1.173585403584761,1.8316496380981337,-0.6580642345133727,0.48363665441417536,-0.27499999999999997
primary_top20_pooled,real_xi_set_01,1,80,0.3125,0.2125,0.475,1.325,1.775,-0.45,1.2462325244417554,1.7627905472725593,-0.516558022830804,0.48535126365659875,-0.16249999999999998
primary_top20_pooled,real_xi_set_01,2,80,0.2625,0.225,0.5125,1.3875,1.975,-0.5875,1.4276396959729176,1.9787579655676648,-0.5511182695947471,0.4813696459454689,-0.24999999999999994
primary_top20_pooled,real_xi_set_01,3,80,0.2625,0.25,0.4875,1.2125,1.625,-0.4125,1.0862924357598367,1.6229822167271284,-0.5366897809672919,0.4828031972896535,-0.22499999999999998
primary_top20_pooled,real_xi_set_01,4,80,0.2625,0.325,0.4125,1.075,1.65,-0.575,1.0942159969885181,1.7001353216664412,-0.6059193246779231,0.48170432984389855,-0.14999999999999997
primary_top20_pooled,real_xi_set_01,5,80,0.275,0.2,0.525,1.175,1.8125,-0.6375,1.1786745653249582,1.7637690248334443,-0.5850944595084863,0.48036883690578325,-0.25
primary_top20_pooled,real_xi_set_01,6,80,0.275,0.225,0.5,1.4125,1.9625,-0.55,1.2851044966759093,1.786760002036273,-0.5016555053603636,0.4873405872192228,-0.22499999999999998
primary_top20_pooled,real_xi_set_01,7,80,0.3125,0.175,0.5125,1.375,1.9,-0.525,1.2506524596790902,1.8274038682499534,-0.5767514085708629,0.4796463120943841,-0.19999999999999996
primary_top20_pooled,real_xi_set_01,8,80,0.25,0.3125,0.4375,1.1625,1.725,-0.5625,1.240668789917989,1.81479158681265,-0.5741227968946608,0.48504398213942873,-0.1875
primary_top20_pooled,real_xi_set_01,9,80,0.275,0.2125,0.5125,1.125,1.5625,-0.4375,1.0850432015239964,1.5026843568283332,-0.41764115530433693,0.486347999597126,-0.23749999999999993
primary_top20_pooled,real_xi_set_01,10,80,0.25,0.2875,0.4625,1.2125,1.75,-0.5375,1.1826673184821181,1.8132056984185645,-0.6305383799364466,0.4825606494083418,-0.21250000000000002
primary_top20_pooled,real_xi_set_01,11,80,0.2875,0.3,0.4125,1.4,1.6875,-0.2875,1.211457524262397,1.710287054014421,-0.49882952975202394,0.49111361558818467,-0.125
primary_top20_pooled,real_xi_set_01,12,80,0.2375,0.225,0.5375,1.2625,1.9625,-0.7,1.2974095768831373,1.8592597468980627,-0.5618501700149253,0.4816633128111493,-0.3
primary_top20_pooled,real_xi_set_01,13,80,0.25,0.2375,0.5125,1.1375,1.7625,-0.625,1.1994190069451907,1.7799405452370476,-0.5805215382918567,0.48131098577922726,-0.26249999999999996
primary_top20_pooled,real_xi_set_01,14,80,0.3125,0.2,0.4875,1.075,1.5375,-0.4625,1.1973204540718965,1.730379700372351,-0.5330592463004544,0.48504193752006086,-0.175
primary_top20_pooled,real_xi_set_01,15,80,0.25,0.325,0.425,1.1375,1.4125,-0.275,1.050501749415524,1.4817026482567048,-0.43120089884118074,0.4865515147048051,-0.175
primary_top20_pooled,real_xi_set_01,16,80,0.3125,0.125,0.5625,1.35,1.9875,-0.6375,1.3191419800697293,1.9071090592614794,-0.58796707919175,0.4854249747498588,-0.25
primary_top20_pooled,real_xi_set_01,17,80,0.2,0.15,0.65,1.15,1.9625,-0.8125,1.1823303828892855,1.7214903392633112,-0.5391599563740254,0.47843808145005984,-0.45
primary_top20_pooled,real_xi_set_01,18,80,0.25,0.325,0.425,1.025,1.4125,-0.3875,1.1570494930208612,1.7467088565598512,-0.5896593635389901,0.48181798516072066,-0.175
primary_top20_pooled,real_xi_set_01,19,80,0.2375,0.225,0.5375,1.3375,1.9,-0.5625,1.2258707163984313,1.7794900847099882,-0.5536193683115569,0.48816349142093357,-0.3
primary_top20_pooled,real_xi_set_01,20,80,0.2625,0.25,0.4875,1.1625,1.8125,-0.65,1.2182827464950374,1.7999416513124078,-0.5816589048173703,0.4878580569809907,-0.22499999999999998
primary_top20_pooled,real_xi_set_01,21,80,0.2875,0.175,0.5375,0.975,1.4625,-0.4875,1.2137524978506777,1.744223373396976,-0.5304708755462986,0.48684365389799644,-0.25
primary_top20_pooled,real_xi_set_01,22,80,0.275,0.225,0.5,1.0375,1.5375,-0.5,1.1761602942670761,1.703685118932493,-0.5275248246654171,0.4843176665754031,-0.22499999999999998
primary_top20_pooled,real_xi_set_01,23,80,0.3,0.2,0.5,1.15,1.6375,-0.4875,1.1594342193120144,1.7444211125871132,-0.5849868932750989,0.4826063830625369,-0.2
primary_top20_pooled,real_xi_set_01,24,80,0.2875,0.2375,0.475,1.05,1.6,-0.55,1.1647969203133308,1.6605426731900994,-0.49574575287676864,0.48448022852557493,-0.1875
primary_top20_pooled,real_xi_set_01,25,80,0.2,0.3,0.5,1.1125,1.625,-0.5125,1.0182144378070295,1.595335305925968,-0.5771208681189386,0.4830921064227821,-0.3
primary_top20_pooled,real_xi_set_01,26,80,0.3,0.2875,0.4125,0.875,1.1375,-0.2625,0.9283400076170933,1.3220751210422907,-0.3937351134251976,0.48924583789948484,-0.11249999999999999
primary_top20_pooled,real_xi_set_01,27,80,0.2125,0.2375,0.55,1.1375,1.8125,-0.675,1.1638020030499239,1.7383591589713503,-0.5745571559214265,0.4838596841372098,-0.3375
primary_top20_pooled,real_xi_set_01,28,80,0.25,0.2375,0.5125,1.25,1.6375,-0.3875,1.1476570479184232,1.647450612934163,-0.49979356501574,0.48564978517390156,-0.26249999999999996
primary_top20_pooled,real_xi_set_01,29,80,0.3,0.175,0.525,1.175,1.675,-0.5,1.1438136061961086,1.7014373089320505,-0.557623702735942,0.4879547361499978,-0.22500000000000003
primary_top20_pooled,real_xi_set_01,30,80,0.3,0.1625,0.5375,1.4875,2.1125,-0.625,1.3592664824055014,1.963341774976223,-0.6040752925707216,0.4860879818473453,-0.2375
primary_top20_pooled,real_xi_set_01,31,80,0.275,0.2625,0.4625,1.1,1.5,-0.4,1.1835463744463337,1.5653097001255387,-0.381763325679205,0.4855416443058994,-0.1875
primary_top20_pooled,real_xi_set_01,32,80,0.25,0.3,0.45,1.3625,1.8,-0.4375,1.3148107855689148,1.8434458525527178,-0.5286350669838028,0.4849908029337606,-0.2
primary_top20_pooled,real_xi_set_01,33,80,0.25,0.3,0.45,0.925,1.3875,-0.4625,1.0977185634132929,1.5607558305591747,-0.46303726714588167,0.4798206308793579,-0.2
primary_top20_pooled,real_xi_set_01,34,80,0.2875,0.2,0.5125,1.1375,1.7125,-0.575,1.1626357193053507,1.740456681607966,-0.5778209623026153,0.4889940183001474,-0.22499999999999998
primary_top20_pooled,real_xi_set_01,35,80,0.225,0.325,0.45,1.1125,1.65,-0.5375,1.1330025037715143,1.7128713041408834,-0.579868800369369,0.47902942709099927,-0.225
primary_top20_pooled,real_xi_set_01,36,80,0.2625,0.275,0.4625,0.9875,1.5375,-0.55,1.2008900956238986,1.7869257190652998,-0.5860356234414013,0.48465892088412665,-0.2
primary_top20_pooled,real_xi_set_01,37,80,0.2875,0.175,0.5375,1.0375,1.6125,-0.575,1.1867574910842777,1.7099289477705426,-0.5231714566862646,0.47916644173563405,-0.25
primary_top20_pooled,real_xi_set_01,38,80,0.25,0.2875,0.4625,1.1375,1.6,-0.4625,1.1781823561899027,1.7088739611692225,-0.53069160497932,0.486457708538971,-0.21250000000000002
primary_top20_pooled,real_xi_set_01,39,80,0.2875,0.1625,0.55,1.175,1.8625,-0.6875,1.1623677657851128,1.6647487396610028,-0.5023809738758898,0.48708849535365817,-0.26250000000000007
primary_top20_pooled,real_xi_set_02,0,80,0.2375,0.2375,0.525,1.2125,1.8625,-0.65,1.1796448248227582,1.89467325184413,-0.7150284270213718,0.4790351715216105,-0.28750000000000003
primary_top20_pooled,real_xi_set_02,1,80,0.3125,0.2125,0.475,1.35,1.8125,-0.4625,1.2224828852166212,1.8413013451476652,-0.6188184599310439,0.48391857634551316,-0.16249999999999998
primary_top20_pooled,real_xi_set_02,2,80,0.2625,0.1875,0.55,1.4,2.0625,-0.6625,1.390382123594661,2.014595586132619,-0.6242134625379584,0.4763395020126243,-0.28750000000000003
primary_top20_pooled,real_xi_set_02,3,80,0.3,0.2375,0.4625,1.2625,1.625,-0.3625,1.0943877700094178,1.6807889707680037,-0.5864012007585857,0.4778939255808153,-0.16250000000000003
primary_top20_pooled,real_xi_set_02,4,80,0.2625,0.325,0.4125,1.0625,1.675,-0.6125,1.083617767168347,1.7502423558998825,-0.6666245887315355,0.47780765431138955,-0.14999999999999997
primary_top20_pooled,real_xi_set_02,5,80,0.275,0.2125,0.5125,1.175,1.825,-0.65,1.189967666296014,1.8054853389556338,-0.6155176726596201,0.4770693819030827,-0.23749999999999993
primary_top20_pooled,real_xi_set_02,6,80,0.2625,0.2,0.5375,1.3875,1.9875,-0.6,1.263840795571529,1.849615044163087,-0.585774248591558,0.4846978112226174,-0.27499999999999997
primary_top20_pooled,real_xi_set_02,7,80,0.3,0.175,0.525,1.3875,1.925,-0.5375,1.2551951618282187,1.8551563053563023,-0.5999611435280837,0.4769350681506016,-0.22500000000000003
primary_top20_pooled,real_xi_set_02,8,80,0.225,0.35,0.425,1.1875,1.7375,-0.55,1.24622273773083,1.8429249560204632,-0.5967022182896333,0.4820833734851284,-0.19999999999999998
primary_top20_pooled,real_xi_set_02,9,80,0.2875,0.1875,0.525,1.15,1.675,-0.525,1.0783790932729351,1.5662968966708661,-0.4879178033979309,0.4812441335362304,-0.23750000000000004
primary_top20_pooled,real_xi_set_02,10,80,0.25,0.3,0.45,1.225,1.7625,-0.5375,1.1612803926604296,1.8464805436670637,-0.6852001510066341,0.47884733435868326,-0.2
primary_top20_pooled,real_xi_set_02,11,80,0.2875,0.2625,0.45,1.3875,1.7375,-0.35,1.2115425975842307,1.75508970674925,-0.5435471091650192,0.4879285595375971,-0.16250000000000003
primary_top20_pooled,real_xi_set_02,12,80,0.225,0.225,0.55,1.2625,2.0375,-0.775,1.2848453590994349,1.92319845349863,-0.6383530943991952,0.47748322968035517,-0.32500000000000007
primary_top20_pooled,real_xi_set_02,13,80,0.25,0.225,0.525,1.1375,1.8,-0.6625,1.1876276275868913,1.8429995968439759,-0.6553719692570843,0.4770784258123288,-0.275
