model,bin,matches,mean_confidence,observed_accuracy
dixon_coles_shrunk,"(-0.001, 0.35]",4,0.3430332184825759,0.75
dixon_coles_shrunk,"(0.35, 0.45]",45,0.4001814964249857,0.4222222222222222
dixon_coles_shrunk,"(0.45, 0.55]",19,0.5119828230718502,0.7894736842105263
dixon_coles_shrunk,"(0.55, 0.65]",10,0.5854239760144527,0.5
dixon_coles_shrunk,"(0.65, 0.75]",3,0.6759722597177685,1.0
dixon_coles_shrunk,"(0.75, 1.0]",1,0.8156221013722142,1.0
naive_base_rate,"(0.35, 0.45]",3,0.441005291005291,0.3333333333333333
naive_base_rate,"(0.45, 0.55]",79,0.49863224019228,0.4683544303797468
poisson_shrunk,"(0.35, 0.45]",41,0.4020090077251723,0.3658536585365853
poisson_shrunk,"(0.45, 0.55]",21,0.4928189046343643,0.8095238095238095
poisson_shrunk,"(0.55, 0.65]",15,0.5756514403848438,0.6666666666666666
poisson_shrunk,"(0.65, 0.75]",4,0.6829417755163838,0.75
poisson_shrunk,"(0.75, 1.0]",1,0.8189828975669977,1.0
transparent_form,"(-0.001, 0.35]",5,0.3456004173446032,0.2
transparent_form,"(0.35, 0.45]",56,0.3908351216528049,0.4821428571428571
transparent_form,"(0.45, 0.55]",20,0.4915379146382982,0.85
transparent_form,"(0.55, 0.65]",1,0.6261569590081425,1.0
